sk_local;de_regiao;sg_uf;de_estado;nm_municipio;nm_bairro;nm_logradouro;nu_logradouro;cd_cep;vl_latitude;vl_longitude
4524;Região Sudeste;MG;Minas Gerais;MONTES CLAROS;MORADA DO SOL;AVENIDA MESTRA FININHA;1508;39403222;-16,7314395;-43,8765007
4525;Região Sudeste;SP;São Paulo;SUMARE;JARDIM FANTINATTI NOVA VENEZA;RUA DEZ;206;13179323;-22,8042143;-47,1907567
4526;Região Sul;PR;Paraná;CURITIBA;CAJURU;RUA JOSE FABIANO BARCIK;936;82940050;-25,4621216;-49,2125617
4527;Região Sul;RS;Rio Grande do Sul;CACHOEIRINHA;VILA PONTA PORA;RUA AMAPA;564;94935050;-29,9425469;-51,0944261
4528;Região Sudeste;SP;São Paulo;SAO PAULO;SE;RUA BENJAMIN CONSTANT;61;01005000;-23,5500682;-46,6347189
4529;Região Sul;SC;Santa Catarina;JOINVILLE;SAO MARCOS;RUA OTTOKAR DOERFFEL;2159;89203358;-26,3186638;-48,8744866
4530;Região Sudeste;SP;São Paulo;ITANHAEM;BALNEARIO SAO JORGE;AVENIDA MARGINAL;2;11740974;-24,1593618;-46,7500445
4531;Região Sudeste;SP;São Paulo;BARRETOS;ALTO SUMARE;AVENIDA MINAS GERAIS;900;14781010;-20,5345101;-48,5680158
4532;Região Sudeste;MG;Minas Gerais;BELO HORIZONTE;CENTRO;AVENIDA AMAZONAS;885;30180000;-19,9213429;-43,9421514
4533;Região Sudeste;SP;São Paulo;SAO PAULO;VILA MARIETA;AVENIDA SAO MIGUEL;2872;03620001;-23,510804;-46,503385
4534;Região Sudeste;SP;São Paulo;CAMPINAS;BOTAFOGO;RUA PROFESSOR LUIZ ROSA;204;13020260;-22,9004286;-47,0646601
4535;Região Sudeste;RJ;Rio de Janeiro;RIO DE JANEIRO;ENCANTADO;RUA DOIS DE FEVEREIRO;225;20730451;-22,897878;-43,3011715
4536;Região Sudeste;SP;São Paulo;CARAGUATATUBA;PEREQUE MIRIM;AVENIDA JOSE HERCULANO;4139;11668600;-23,6825451;-45,4389034
4537;Região Sudeste;SP;São Paulo;CAMPINAS;CENTRO;RUA DOUTOR QUIRINO;533;13015080;-22,9097378;-47,0555445
4538;Região Sudeste;MG;Minas Gerais;POUSO ALEGRE;CENTRO;RUA BOM JESUS;696;37550000;-22,2281438;-45,9339365
4539;Região Nordeste;CE;Ceará;JAGUARIBE;CENTRO;AVENIDA 8 DE NOVEMBRO;688;63475000;-5,8894853;-38,6216223
4540;Região Sul;SC;Santa Catarina;BARRA VELHA;CENTRO;RUA CARLOS MAIA;SN;88390000;-26,6382234;-48,6864271
4541;Região Sul;RS;Rio Grande do Sul;CANGUCU;VILA NOVA;RUA GETULIO VARGAS;86;96600000;-31,4066145;-52,6712676
4542;Região Nordeste;SE;Sergipe;ARACAJU;PALESTINA;RUA SILVERIO FONTES;540;49060010;-10,9821895;-37,0876548
4543;Região Centro-Oeste;GO;Goiás;LUZIANIA;DIOGO MACHADO DE ARAUJO;AVENIDA JULIO MEIRELES;20;72810170;-16,2509279;-47,9604212
4544;Região Sudeste;SP;São Paulo;GUARULHOS;JARDIM AERODROMO;RUA DAS AEROMOCAS;42;07161725;-23,4101816;-46,4454212
4545;Região Sudeste;SP;São Paulo;PRAIA GRANDE;VILA CAICARA;AVENIDA PRESIDENTE CASTELO BRANCO;12816;11706500;-24,0488868;-46,5204693
4546;Região Norte;AM;Amazonas;MANAUS;NOVA CIDADE;RUA LA CORUNA;443;69097229;-3,0044161;-59,9824846
4547;Região Sul;RS;Rio Grande do Sul;PORTO ALEGRE;CENTRO HISTORICO;PRACA QUINZE DE NOVEMBRO;16;90020080;-30,0279055;-51,2264929
4548;Região Sudeste;SP;São Paulo;SAO PAULO;CONJUNTO HABITACIONAL AGUIA DE HAIA;RUA LUA DO ALFORJE;7;08223545;-23,5236423;-46,4671836
4549;Região Sudeste;SP;São Paulo;CARAGUATATUBA;MARTIM DE SA;RUA JACARANDA JARDIM BELA VISTA;271;11662730;-23,6255903;-45,4241453
4550;Região Nordeste;CE;Ceará;NOVA RUSSAS;CENTRO;AVENIDA ANTONIO JOAQUIM DE SOUSA;1096;62200000;-4,7064741;-40,5601712
4551;Região Sul;SC;Santa Catarina;FLORIANOPOLIS;CAMPECHE;SERVIDAO AUGUSTO RUSCHI;40;88063006;-27,5953778;-48,5480499
4552;Região Nordeste;CE;Ceará;FORTALEZA;JOAQUIM TAVORA;RUA SAO GABRIEL;132;60120110;-3,7495215;-38,5183042
4553;Região Norte;AM;Amazonas;CAREIRO DA VARZEA;CENTRO;ALAMEDA 1 DE MAIO;10;69255000;-3,1979121;-59,8251337
4554;Região Sudeste;MG;Minas Gerais;PEDRA AZUL;NOVO PROGRESSO;RUA VENANCIO JOSE DE SOUZA;113;39970000;-16,0036875;-41,281738
4555;Região Sudeste;SP;São Paulo;SAO PAULO;IPIRANGA;RUA BOM PASTOR;975;04203000;-23,5851169;-46,6072035
4556;Região Sudeste;SP;São Paulo;ITAPIRA;ELEUTERIO;SITIO RODRIGUES;;13970970;-22,4362174;-46,8228786
4557;Região Sudeste;SP;São Paulo;ITATIBA;TAPERA GRANDE;RODOVIA ROMILDO PRADO;SN;13255750;-23,0068348;-46,8387438
4558;Região Sudeste;SP;São Paulo;SAO BERNARDO DO CAMPO;VILA SANTA IZABEL;RUA DOMINGOS BERTAGLIA;76;09891110;-23,6856864;-46,5669239
4559;Região Nordeste;BA;Bahia;VITORIA DA CONQUISTA;JUREMA;RUA A;1509;45055480;-14,8267719;-40,7968584
4560;Região Sudeste;SP;São Paulo;COLOMBIA;CENTRO;RUA WASHINGTON LUIZ;562;14795000;-20,1772418;-48,6869209
4561;Região Sul;SC;Santa Catarina;ICARA;AURORA;RUA ALAMIRO GARCIA;1673;88820000;-28,7137096;-49,3091437
4562;Região Nordeste;PE;Pernambuco;CABO DE SANTO AGOSTINHO;PONTE DOS CARVALHOS;RUA DO CRUZEIRO;86;54580635;-8,2901802;-35,0346154
4563;Região Sudeste;SP;São Paulo;SANTANA DE PARNAIBA;VILA ANORAL;RUA CROTONS;36;06528301;-23,404242;-46,902412
