sk_local;de_regiao;sg_uf;de_estado;nm_municipio;nm_bairro;nm_logradouro;nu_logradouro;cd_cep;vl_latitude;vl_longitude
1442;Região Sudeste;SP;São Paulo;JUNDIAI;CASTANHO;RODOVIA TANCREDO ALMEIDA NEVES;;13203715;-23,1864533;-46,8844527
1443;Região Sudeste;SP;São Paulo;SAO JOSE DO RIO PRETO;JARDIM DAS OLIVEIRAS;RUA ANTONIO DE OLIVEIRA;900;15047000;-20,7716223;-49,4099313
1444;Região Sudeste;SP;São Paulo;EMBU DAS ARTES;JARDIM NOVO EMBU;RUA COMETA;102;06840060;-23,6511032;-46,8588477
1445;Região Nordeste;AL;Alagoas;MARECHAL DEODORO;CENTRO;RUA CAPITAO BERNADINO SOUTO;115;57160000;-9,7205156;-35,8956794
1446;Região Sudeste;SP;São Paulo;SAO PAULO;VILA PERUS;RUA SALLES GOMES;228;05211200;-23,4074903;-46,7522278
1447;Região Sudeste;MG;Minas Gerais;BELO HORIZONTE;PADRE EUSTAQUIO;RUA ANCHIETA;328;30720370;-19,9195419;-43,9808599
1448;Região Sudeste;MG;Minas Gerais;JUIZ DE FORA;LINHARES;CONTORNO DA RUA ANGELO BIGGI VALE DOS PEOES;SN;36060620;-21,7624237;-43,3433999
1449;Região Sudeste;ES;Espírito Santo;SERRA;JOSE DE ANCHIETA;RUA PAU BRASIL;31;29162450;-20,1722455;-40,2069837
1450;Região Sudeste;MG;Minas Gerais;BELO HORIZONTE;FUNCIONARIOS;RUA SERGIPE;1236;30130171;-19,9372179;-43,9382002
1451;Região Sudeste;SP;São Paulo;CARDOSO;ZONA RURAL;FAZENDA CACHOEIRA DOS TOMAZES;SN;15570000;-20,0810552;-49,9135463
1452;Região Norte;AM;Amazonas;MANAUS;FLORES;ESTRADA DOS OFICIAIS;27;69082230;-3,0487951;-60,0143095
1453;Região Sudeste;SP;São Paulo;GUARULHOS;VILA ROSALIA;RUA CONEGO EZEQUIAS;234;07064030;-23,4490182;-46,5531267
1454;Região Sudeste;SP;São Paulo;SAO PAULO;JARDIM DA SAUDE;RUA ANDRE MENDES;112;04149110;-23,6152519;-46,621715
1455;Região Nordeste;PI;Piauí;ITAINOPOLIS;ZONA RURAL;COMUNIDADE MAXIXE I;;64565000;-7,443763;-41,4690844
1456;Região Nordeste;BA;Bahia;SALVADOR;ENGENHO VELHO DA FEDERACAO;TRAVESSA APOLINARIO SANTANA;34;40220110;-13,0023542;-38,5002895
1457;Região Sudeste;SP;São Paulo;PIQUETE;SEDE;RODOVIA BR 459;;12620000;-22,6141439;-45,1774096
1458;Região Sudeste;SP;São Paulo;SAO PAULO;PLANALTO PAULISTA;AVENIDA JABAQUARA;2958;04045000;-23,6283234;-46,6449848
1459;Região Norte;AC;Acre;RIO BRANCO;VILA AMIZADE;TRECHO NEUSA VIDAL;67;69909660;-9,975377;-67,8248977
1460;Região Sudeste;SP;São Paulo;FRANCISCO MORATO;CENTRO;RUA VIRGILIO M DE OLIVEIRA;479;07901020;-23,2811024;-46,7477746
1461;Região Nordeste;MA;Maranhão;SANTA LUZIA;ZONA RURAL;POVOADO BELA VISTA;SN;65390000;-3,9697934;-45,6635644
1462;Região Sudeste;RJ;Rio de Janeiro;RIO DE JANEIRO;BARRA DA TIJUCA;AVENIDA DAS AMERICAS;10101;22631000;-23,0010182;-43,4164567
1463;Região Nordeste;BA;Bahia;GOVERNADOR MANGABEIRA;ZONA RURAL;RODOVIA BR 101;SN;44350000;-12,5991299;-39,0210124
1464;Região Sudeste;SP;São Paulo;SAO PAULO;JARDIM DAS FONTES;RUA ALCIDIO GOMES;13;04894420;-23,8671386;-46,7525342
1465;Região Sudeste;RJ;Rio de Janeiro;RIO DE JANEIRO;LARANJEIRAS;TRECHO EUCLIDES DE MATOS;40;22240010;-22,9331259;-43,1814428
1466;Região Sudeste;SP;São Paulo;TAUBATE;VILA APARECIDA;RUA ANTONIO PEREIRA DE ANDRADE;126;12052072;-23,0151009;-45,5662888
1467;Região Sudeste;SP;São Paulo;BIRIGUI;ESTANCIA CAICARA;AVENIDA ANTONIO DA SILVA NUNES;837;16201106;-21,2744847;-50,332765
1468;Região Centro-Oeste;MS;Mato Grosso do Sul;APARECIDA DO TABOADO;VILA PEREIRA;RUA AMAZONAS;2181;79570000;-20,0935762;-51,1068778
1469;Região Sul;RS;Rio Grande do Sul;TRIUNFO;COXILHA VELHA;RODOVIA BR 386;;95840971;-29,942856;-51,7184565
1470;Região Nordeste;CE;Ceará;FORTALEZA;ANTONIO BEZERRA;RUA RUI MONTE;186;60360640;-3,7410598;-38,5874693
1471;Região Sudeste;SP;São Paulo;SAO PAULO;SAO MIGUEL PAULISTA;RUA ERVA DE LARGATO;49;08041790;-23,5122194;-46,4379213
1472;Região Nordeste;RN;Rio Grande do Norte;SERRINHA;CENTRO;RUA IRENE RODRIGUES SOARES;166;59258000;-6,2785721;-35,4954111
1473;Região Sudeste;SP;São Paulo;IRAPUA;CENTRO;RUA AFONSO PENA;20;14990000;-21,2838075;-49,4063999
1474;Região Nordeste;BA;Bahia;ALAGOINHAS;CENTRO;RUA 24 DE MAIO;139;48010000;-12,1355636;-38,4214444
1475;Região Sudeste;SP;São Paulo;SAO PAULO;BOM RETIRO;RUA JOAO KOPKE;169B;01124030;-23,5260194;-46,6346962
1476;Região Sudeste;MG;Minas Gerais;BETIM;NOVO HORIZONTE;RUA OLGA ASSUNCAO;1202;32606116;-19,9430118;-44,2014719
1477;Região Nordeste;SE;Sergipe;ROSARIO DO CATETE;CENTRO;RUA SANTO AMARO;442;49760000;-10,6912077;-37,0306196
1478;Região Sul;RS;Rio Grande do Sul;SANTANA DO LIVRAMENTO;CENTRO;RUA CLEMENTINO BICA DE ALMEIDA;363;97573070;-30,8780266;-55,5499144
1479;Região Norte;PA;Pará;BENEVIDES;CENTRO;AVENIDA NACOES UNIDAS;300;68795000;-1,3643677;-48,2437763
1480;Região Sudeste;SP;São Paulo;SANTOS;BOQUEIRAO;RUA OSWALDO CRUZ;517;11045101;-23,9713447;-46,3233233
1481;Região Sul;PR;Paraná;PONTA GROSSA;OLARIAS;RUA DRJOAQUIM M ATORRES;SN;84026170;-25,0993621;-50,1584514
1482;Região Sul;RS;Rio Grande do Sul;CANOAS;MATHIAS VELHO;RUA FLORIANOPOLIS;2981;92330500;-29,9062703;-51,2106152
1483;Região Sudeste;SP;São Paulo;SAO PAULO;VILA SAO DOMINGOS;RUA EDMUNDO JUVENT FUENTES;210;03280000;-23,5839965;-46,5363962
1484;Região Sudeste;SP;São Paulo;PRESIDENTE BERNARDES;NOVA PATRIA;SITIO AGUA BOA I;SN;19300000;-22,0077937;-51,5531899
1485;Região Sul;RS;Rio Grande do Sul;CANOAS;NOSSA SENHORA DAS GRACAS;AVENIDA FARROUPILHA;2959;92025415;-29,8871426;-51,16635
1486;Região Sudeste;SP;São Paulo;SAO VICENTE;PARQUE SAO VICENTE;RUA GUARANY;647;11360000;-23,9538307;-46,3973877
1487;Região Nordeste;PB;Paraíba;RIACHO DE SANTO ANTONIO;CENTRO;RUA DEMOSTENES BARBOSA;438;58465000;-7,6922126;-36,1557587
1488;Região Sudeste;SP;São Paulo;ITAI;JARDIM PLANALTO;RUA DONATO D DE CAMARGO;105;18730000;-23,4224863;-49,0836879
1489;Região Sudeste;MG;Minas Gerais;JUIZ DE FORA;NOVA ERA;AVENIDA DOUTOR BEZERRA DE MENEZES;990;36087020;-21,7076334;-43,4176709
1490;Região Sul;SC;Santa Catarina;TUBARAO;OFICINAS;RUA SILVIO CARGNIN;104;88702260;-28,486609;-49,0271399
1491;Região Sul;RS;Rio Grande do Sul;ESTEIO;LIBERDADE;AVENIDA ERICO VERISSIMO;265;93265300;-29,8579259;-51,1657538
1492;Região Nordeste;AL;Alagoas;SAO MIGUEL DOS CAMPOS;LOTEAMENTO ESTHER SOARES TORRES;RUA 2;;57240000;-9,7826826;-36,0981398
1493;Região Sul;PR;Paraná;LAPA;VILA SAO JOSE;RUA GELSON LUIZ CAPELLI;299;83750000;-25,7675725;-49,7172529
1494;Região Sul;RS;Rio Grande do Sul;MATA;1 DISTRITO;LOCALIDADE SERTAO;SN;97410000;-29,5653794;-54,4646403
1495;Região Sudeste;SP;São Paulo;JANDIRA;JARDIM JANDIRA;RUA NICOLAU SALUM;22;06606050;-23,5317599;-46,9046092
1496;Região Sudeste;MG;Minas Gerais;PAINS;CENTRO;RUA JOAO MARCAL DE MELO;52;35582000;-20,3729797;-45,662051
344;Região Sudeste;MG;Minas Gerais;BELO HORIZONTE;CENTRO;AVENIDA OLEGARIO MACIEL;742;30180110;-19,9205817;-43,945275
1497;Região Nordeste;BA;Bahia;JAGUAQUARA;STELA DUBOIS;RUA TV MANOEL VICTOR;80;45345000;-13,5281974;-39,9695429
1498;Região Sudeste;SP;São Paulo;SAO PAULO;VILA OLIMPIA;RUA GOMES DE CARVALHO;1510;04547005;-23,5955902;-46,6873673
1499;Região Norte;AM;Amazonas;MANAUS;PRACA 14 DE JANEIRO;RUA JONATHAS PEDROSA;1387;69020110;-3,1238663;-60,0145684
1500;Região Sudeste;SP;São Paulo;SAO PAULO;PARAISO;RUA LEONCIO DE CARVALHO;306;04003902;-23,5721444;-46,6477888
1501;Região Sudeste;SP;São Paulo;OSASCO;KM 18;RUA GENERAL NEWTON ESTILAC LEAL;687;06190170;-23,5294716;-46,8056884
1502;Região Sul;PR;Paraná;TOLEDO;VILA INDUSTRIAL;RUA SANTA ROSA;2274;85904160;-24,7117064;-53,7472775
1503;Região Centro-Oeste;GO;Goiás;GOIANIA;SETOR SUL;RUA 101;;74080150;-16,6846038;-49,2596994
1504;Região Sudeste;SP;São Paulo;GUARULHOS;GOPOUVA;AVENIDA EMILIO RIBAS;1465;07020010;-23,4661772;-46,5471247
1505;Região Nordeste;PI;Piauí;SIMOES;URBANO;PRACA SESQUICENTENARIO;30;64585000;-7,5915027;-40,814097
1506;Região Sudeste;SP;São Paulo;SAO PAULO;VILA RE;RUA ITINGUCU;1378;03658000;-23,5270893;-46,5023223
1507;Região Sudeste;MG;Minas Gerais;LUMINARIAS;CENTRO;PRACA DO CARMO;120;37240000;-21,5107696;-44,9041132
1508;Região Sul;SC;Santa Catarina;BLUMENAU;JARDIM BLUMENAU;RUA JOSE D AVILA RUFINO;60;89023030;-26,9329212;-49,068279
1509;Região Sudeste;SP;São Paulo;SAO PAULO;PRQ ALVES DE LIMA;ESTRADA DE GUARAPIRANGA;2125;04909025;-23,6860395;-46,738802
1510;Região Nordeste;CE;Ceará;ARACATI;CENTRO;RUA CORONEL POMPEU;460;62800000;-4,5649317;-37,7709654
1511;Região Sudeste;RJ;Rio de Janeiro;RIO DE JANEIRO;COPACABANA;RUA HILARIO DE GOUVEIA;103;22040020;-22,9669681;-43,1851513
1512;Região Sudeste;SP;São Paulo;SAO PAULO;JARDIM FIGUEIRA GRANDE;RUA PEDRO DA COSTA FALEIRO;4;04915020;-23,6783377;-46,7471418
1513;Região Sudeste;SP;São Paulo;ITU;JARDIM ESTADIO;RUA CRISTOVAO DINIZ;283;13309270;-23,2825518;-47,2869477
1514;Região Sudeste;SP;São Paulo;SANTO ANDRE;CENTRO;RUA CORONEL ORTIZ;226;09030400;-23,6632791;-46,5238651
1515;Região Sudeste;SP;São Paulo;CANDIDO MOTA;CENTRO;RUA ANTONIO CONTE;348;19880000;-22,7460887;-50,3918271
1516;Região Sudeste;SP;São Paulo;SAO PAULO;VILA MIRANTE;RUA ANDRE PEREIRA TEMUDO;223;02957000;-23,4676177;-46,7221595
1517;Região Sudeste;MG;Minas Gerais;UBERLANDIA;JARDIM UMUARAMA;AVENIDA PROFESSOR JOSE INACIO DE SOUZA;3555;38405330;-18,8810316;-48,2555839
1518;Região Sul;PR;Paraná;FOZ DO IGUACU;AEROPORTO INTERNACIONAL;RODOVIA BR 469;;85853900;-25,57724;-54,5434266
1519;Região Nordeste;PE;Pernambuco;ARCOVERDE;SAO CRISTOVAO;AVENIDA JOSE BONIFACIO;1171;56512000;-8,4151017;-37,0713836
1520;Região Sudeste;MG;Minas Gerais;ITAMARANDIBA;CENTRO;RUA LIRIO;9;39670000;-17,8603507;-42,8546044
1521;Região Nordeste;RN;Rio Grande do Norte;CANGUARETAMA;AREIA BRANCA;RUA ALFREDO DE BRITO;42;59190000;-6,3810573;-35,1301043
1522;Região Sul;SC;Santa Catarina;ITAJAI;SALSEIROS;RODOVIA JORGE LACERDA;961;88317100;-26,8883116;-48,731628
1523;Região Sudeste;SP;São Paulo;CAMPINAS;JARDIM CHAPADAO;AVENIDA FRANCISCO JOSE DE CAMARGO ANDRADE;381;13070055;-22,8863718;-47,0756058
1524;Região Sul;PR;Paraná;GUARATUBA;CENTRO;RUA NICOLAU ABBAGE;1083;83280000;-25,8825925;-48,5802084
1525;Região Sudeste;SP;São Paulo;BARUERI;JARDIM JULIO;RUA JOSE;158;06447330;-23,549327;-46,8856646
1526;Região Sudeste;SP;São Paulo;GUARULHOS;JARDIM ANSALCA;RUA BAIANOPOLIS;307;07241120;-23,4475036;-46,422176
1527;Região Sul;PR;Paraná;MARINGA;VILA CHRISTINO;AVENIDA CENTENARIO;463;87050040;-23,427547;-51,9074209
1528;Região Sudeste;MG;Minas Gerais;COLUNA;CENTRO;RUA OSVALDO PIMENTA;697;39770000;-18,2302009;-42,8323455
1529;Região Sudeste;ES;Espírito Santo;CARIACICA;BELA AURORA;RUA VITORIA;6;29141517;-20,2660457;-40,4218121
1530;Região Sudeste;SP;São Paulo;SAO PAULO;VILA GIL;RUA DOS EUCALIPTOS;434;08370547;-23,8554547;-46,7061629
1531;Região Nordeste;PE;Pernambuco;GARANHUNS;SAO JOSE;RUA DANTAS BARRETO;57;55295080;-8,8891912;-36,4947258
1532;Região Sudeste;MG;Minas Gerais;TIROS;CENTRO;RUA SAGRADO CORACOES;468;38880000;-19,0046205;-45,968186
1533;Região Sul;RS;Rio Grande do Sul;SAPIRANGA;SAO LUIZ;RUA VISCONDE DE SAO LEOPOLDO;517;93806348;-29,6495492;-50,999884
1534;Região Sudeste;SP;São Paulo;POA;CALMON VIANA;RUA TEREZA;75;08560200;-23,5311395;-46,3375357
1535;Região Nordeste;MA;Maranhão;VARGEM GRANDE;SAO MIGUEL;RUA FLEURY GAMA;SN;65430000;-25,4390567;-49,1727719
1536;Região Nordeste;BA;Bahia;NAZARE;CENTRO;TRAVESSA DO CAMAMU;25;44400000;-13,0354724;-39,0033039
1537;Região Sudeste;SP;São Paulo;SAO PAULO;VILA PRUDENTE;RUA SALVADOR MASTROPIETRO;126;03156240;-23,5814443;-46,5693769
1538;Região Nordeste;MA;Maranhão;SAO LUIS;CIDADE OPERARIA;RUA 12;63;65032040;-2,5534892;-44,2362546
1539;Região Nordeste;PE;Pernambuco;RECIFE;COHAB;RUA PADRE BARTOLOMEU;65;51345730;-8,1074282;-34,9578424
1540;Região Sudeste;SP;São Paulo;ITAJOBI;MARACUJA;SITIO SAO BENTO;SN;15840000;-21,3152009;-49,0553083
1541;Região Sudeste;SP;São Paulo;RIVERSUL;CENTRO;RUA SIMPLICIO G OLIVEIRA;327;18470000;-23,8294879;-49,4294356
1542;Região Sul;SC;Santa Catarina;AGROLANDIA;CENTRO;RUA DOS PIONEIROS;487;88420000;-27,3988133;-49,8274563
1543;Região Sudeste;SP;São Paulo;SAO PAULO;ITAIM PAULISTA;AVENIDA BARAO DE ALAGOAS;480A;08120000;-23,4993079;-46,3943331
1544;Região Sul;RS;Rio Grande do Sul;SAO LEOPOLDO;ARROIO DA MANTEIGA;RUA GEORG HOEFEL;540;93145600;-29,720955;-51,1822606
1545;Região Sudeste;MG;Minas Gerais;POUSO ALEGRE;CENTRO;RUA CORONEL OTAVIO MEYER;160;37550000;-22,2292459;-45,938769
1546;Região Sul;PR;Paraná;PALOTINA;CENTRO;RUA DUQUE DE CAXIAS;428;85950000;-24,2806439;-53,8390704
1547;Região Sudeste;MG;Minas Gerais;LEOPOLDINA;ALTO DA VENTANIA;RUA NICOLAU JOSE LALUNA;178;36700000;-21,5388201;-42,6461217
1548;Região Nordeste;PB;Paraíba;BREJO DO CRUZ;CENTRO;RUA JOAO PESSOA;127;58890000;-6,347796;-37,497233
1549;Região Sudeste;SP;São Paulo;COTIA;AGUA ESPRAIADA CAUCAIA DO ALTO;RUA ALTEMAR DUTRA;19;06726473;-23,6026684;-46,9194693
1550;Região Sudeste;SP;São Paulo;SOCORRO;LAGOA;SITIO SAO BENEDITO;SN;13960000;-22,5971212;-46,5179102
1551;Região Sul;SC;Santa Catarina;IMBITUBA;VILA NOVA;RODOVIA BR CENTO E UM;SN;88780000;-28,2301804;-48,7016375
1552;Região Sudeste;SP;São Paulo;RIBEIRAO PRETO;PARQUE RESIDENCIAL CANDIDO PORTINARI;RUA MAURO MAURIM;116;14093536;-21,1704008;-47,8103238
1553;Região Sudeste;SP;São Paulo;SAO PAULO;BELA VISTA;AVENIDA PAULISTA;392;01310000;-23,5683551;-46,6471734
1554;Região Sul;PR;Paraná;BANDEIRANTES;CENTRO;LOCALIDADE TERMINAL RODOVIARIO;SN;86360000;-23,1087262;-50,3675124
1555;Região Nordeste;BA;Bahia;SALVADOR;CAMINHO DAS ARVORES;RUA TANCREDO NEVES;274;41820021;-12,9805326;-38,4628198
1556;Região Sudeste;SP;São Paulo;SANTANA DE PARNAIBA;CHACARAS MARIA INES;RUA MARGINAL;19;06516001;-23,5229202;-46,8537277
1557;Região Nordeste;BA;Bahia;SALVADOR;RIO VERMELHO;RUA ODILON SANTOS;76;41940350;-13,0135937;-38,4865474
1558;;;;;;;;;-23,6256401;-46,4809632
1559;Região Sudeste;SP;São Paulo;SAO PAULO;ITAQUERA;RUA FLORES DO PIAUI;98;08210200;-23,5390392;-46,455064
1560;Região Sudeste;SP;São Paulo;COTIA;JARDIM DA GLORIA;RUA GRANADA;134;06711170;-23,5998988;-46,8389128
1561;Região Nordeste;BA;Bahia;CAMACAN;CENTRO;RUA 2 DE JULHO;887;45880000;-15,4123095;-39,4975922
1562;Região Nordeste;AL;Alagoas;MACEIO;CENTRO;LAD DA CATEDRAL;78;57020125;-9,6498487;-35,7089492
1563;Região Sul;RS;Rio Grande do Sul;SANTANA DO LIVRAMENTO;CENTRO;AVENIDA PRESIDENTE JOAO GOULART;1960;97574320;-30,8832947;-55,521889
1564;Região Nordeste;CE;Ceará;FORTALEZA;SAO GERARDO;AVENIDA BEZERRA DE MENEZES;2071;60325004;-3,7357108;-38,5627572
1565;Região Nordeste;BA;Bahia;SALVADOR;STO ANTONIO;LADEIRA PARA;5;40301155;-12,9389715;-38,4902375
1566;Região Sul;SC;Santa Catarina;SAO JOSE;BARREIROS;RUA JOSE VICTOR DA ROSA;350;88117405;-27,5748105;-48,6077162
1567;Região Sudeste;RJ;Rio de Janeiro;RIO DE JANEIRO;CAMPO GRANDE;RUA ALFREDO MARIANO;86;23013710;-22,9021661;-43,5492139
1568;Região Sudeste;MG;Minas Gerais;POUSO ALEGRE;SAUDE;RUA JOSE PINTO DE CARVALHO;68;37550000;-22,2287262;-45,9407956
1569;Região Sul;PR;Paraná;CURITIBA;XAXIM;RUA FRANCISCO DEROSSO;2822;81720000;-25,5129457;-49,2588429
1570;Região Sul;RS;Rio Grande do Sul;PORTO ALEGRE;MONT SERRAT;RUA ANITA GARIBALDI;1122;90450000;-30,0262303;-51,1845243
1571;Região Centro-Oeste;GO;Goiás;GOIANIA;SETOR PEDRO LUDOVICO;ALAMEDA COUTO MAGALHAES;750;74580380;-16,7123288;-49,258474
1572;Região Sudeste;SP;São Paulo;SANTOS;CENTRO;RUA GENERAL CAMARA;46;11010120;-23,9341448;-46,328067
1573;Região Sudeste;SP;São Paulo;SAO PAULO;VILA OLIMPIA;RUA DOUTOR FADLO HAIDAR;193;04545050;-23,5963171;-46,6760066
1574;Região Centro-Oeste;MT;Mato Grosso;CUIABA;PORTO;RUA PROFESSOR FELICIANO GALDINO;190;78025100;-15,6120775;-56,1066813
1575;Região Sudeste;RJ;Rio de Janeiro;RIO DE JANEIRO;COPACABANA;RUA DECIO VILARES;169;22041040;-22,9660911;-43,1904661
1576;Região Sudeste;MG;Minas Gerais;BELO HORIZONTE;CARLOS PRATES;RUA PADRE EUSTAQUIO;1716;30710580;-19,9142801;-43,9687874
1577;Região Sul;PR;Paraná;CURITIBA;CRISTO REI;RUA ROBERTO CICHON;100;80050580;-25,4381129;-49,2350892
1578;Região Sudeste;SP;São Paulo;MARILIA;JARDIM MONTE CASTELO;AVENIDA MENINO DE SA;514;17524315;-22,2175846;-49,9505291
1579;Região Sul;SC;Santa Catarina;GASPAR;SANTA TEREZINHA;RODOVIA IVO SILVEIRA;;89114452;-27,0423501;-48,8893105
1580;Região Sul;RS;Rio Grande do Sul;CAXIAS DO SUL;DESVIO RIZZO;AVENIDA TRICHES;2729;95112340;-29,1290212;-51,1099756
1581;Região Centro-Oeste;DF;Distrito Federal;BRASILIA;SOBRADINHO;AR 8 CONJUNTO 1;;73020000;-15,801519;-47,860297
1582;Região Sudeste;SP;São Paulo;BAURU;VILA UNIVERSITARIA;RUA HENRIQUE SAVI;9;17012205;-22,3403699;-49,0511924
1583;Região Sul;PR;Paraná;PONTAL DO PARANA;BALNEARIO IPANEMA;AVENIDA SEBASTIAO CABOTO;SN;83255000;-25,6734145;-48,5107532
1584;Região Sul;RS;Rio Grande do Sul;CAMAQUA;CENTRO;RUA ACINDINO INACIO DIAS;79;96180000;-30,8496676;-51,8072301
1585;Região Sul;RS;Rio Grande do Sul;PORTO ALEGRE;NAVEGANTES;RUA SIMAO KAPPEL;533;90240210;-29,9980312;-51,1999651
1586;Região Sudeste;SP;São Paulo;SAO PAULO;VILA LEOPOLDINA;AVENIDA ENGENHEIRO ROBERTO ZUCCOLO;555;05307190;-23,526222;-46,7450078
1587;Região Sudeste;MG;Minas Gerais;PEDRO LEOPOLDO;SAO GERALDO;RUA GILBERTO ALVES RODRIGUES;86;33600000;-19,6093189;-44,0515881
1588;Região Sudeste;MG;Minas Gerais;IPATINGA;BOM RETIRO;RUA TOME DE SOUZA;455;35160241;-19,5088556;-42,5581435
1589;Região Nordeste;BA;Bahia;SALVADOR;CAMINHO DAS ARVORES;AVENIDA TANCREDO NEVES;1283;41820021;-12,9813056;-38,4551499
1590;Região Sudeste;RJ;Rio de Janeiro;RIO DE JANEIRO;TIJUCA;RUA CORONEL ARISTARCO PESSOA;38;20530440;-22,9459952;-43,2573998
1591;Região Sul;PR;Paraná;RENASCENCA;CENTRO;RUA NEREU RAMOS;654;85610000;-26,15788;-52,9687987
1592;Região Centro-Oeste;GO;Goiás;ANAPOLIS;LOURDES;RUA 9;;75095680;-16,3456674;-48,9372008
1593;Região Sudeste;SP;São Paulo;VOTORANTIM;NOVA VOTORANTIM;RUA ANTONIO DI CAMPO DI LORTO;270;18113430;-23,5352238;-47,4134509
1594;Região Sul;PR;Paraná;PARANAGUA;PARQUE SAO JOAO;AVENIDA AYRTON SENNA DA SILVA;7520;83212090;-25,5204691;-48,5094856
1595;Região Sul;SC;Santa Catarina;SOMBRIO;RAIZEIRA;RUA MANOEL FLORIANO BORGES;380;88960000;-29,1246222;-49,6445865
1596;Região Sudeste;ES;Espírito Santo;CACHOEIRO DE ITAPEMIRIM;GUANDU;RUA DELVO ARLINDO PERIM;SN;29300783;-20,8453333;-41,1217404
1597;Região Sul;RS;Rio Grande do Sul;CANGUCU;;AVENIDA 20 DE SETEMBRO;231;96600000;-31,3909646;-52,6774264
1598;Região Sul;SC;Santa Catarina;XANXERE;CENTRO;TRECHO JOAO WINCKLER;46;89820000;-26,8797856;-52,3784504
1599;Região Sudeste;SP;São Paulo;PERUIBE;CENTRO;AVENIDA PADRE ANCHIETA;1381;11750000;-24,3197229;-46,995465
1600;Região Sudeste;MG;Minas Gerais;BELO ORIENTE;BOM JESUS DO BAGRE;RUA ALFREDO V AZEVEDO;174;35195000;-19,1901971;-42,4953542
1601;Região Sudeste;SP;São Paulo;SANTO ANDRE;CAMILOPOLIS;RUA MIQUELINA;548;09230280;-23,620748;-46,5273016
1602;Região Sudeste;SP;São Paulo;SAO PAULO;VILA NINA;RUA GUSMAO VAZ LOBO;235;02833050;-23,5505199;-46,6333094
1603;Região Sudeste;SP;São Paulo;RIBEIRAO BONITO;CENTRO;RUA FRANCISCO PEREIRA;240;13580000;-22,0643841;-48,1767775
1604;Região Sudeste;SP;São Paulo;CAMPINAS;JARDIM CHAPADAO;AVENIDA PAPA PIO XII;99;13070091;-22,8861382;-47,0798064
1605;Região Sudeste;SP;São Paulo;SAO PAULO;JARDIM SANTA EDWIGES CAPELA DO SOCORRO;RUA ESTEVAO FERNANDES;82;04913140;-23,6718248;-46,7409778
1606;Região Sul;PR;Paraná;PONTA GROSSA;NOVA RUSSIA;RUA DPEDRO II;350;84053000;-25,0852071;-50,1789042
1607;Região Norte;TO;Tocantins;SUCUPIRA;CENTRO;AVENIDA IPE;SN;77458000;-12,0158992;-48,9349353
1608;Região Sudeste;SP;São Paulo;SAO PAULO;JARDIM PAULISTANO;RUA PROFESSOR ARTUR RAMOS;183;01454905;-23,5820519;-46,6859213
1609;Região Nordeste;CE;Ceará;FORTALEZA;MESSEJANA;RUA PERGENTINO MAIA;441B;60840045;-3,8310082;-38,4910903
1610;Região Sudeste;MG;Minas Gerais;ITAPECERICA;CENTRO;RUA VIGARIO ANTUNES;56;35550970;-20,469711;-45,1269159
1611;Região Sul;RS;Rio Grande do Sul;CERRO LARGO;CENTRO;TRAVESSA SANDRI;1020;97900000;-28,1431161;-54,7355916
1612;Região Sul;SC;Santa Catarina;IBIRAMA;AREADO;RUA PRESIDENTE CASTELO BRANCO;2707;89140000;-27,0538861;-49,5439141
1613;Região Sudeste;SP;São Paulo;SAO LOURENCO DA SERRA;CENTRO;ESTRADA DA BARRINHA;500;06890000;-23,8607884;-46,9395395
1614;Região Nordeste;BA;Bahia;ITABUNA;SAO JUDAS;RUA EUROPA UNIDA;523;45605280;-14,7900202;-39,2651824
1615;Região Sudeste;MG;Minas Gerais;EXTREMA;VILA ESPERANCA;RUA UNIAO SOVIETICA;200;37640000;-22,8607755;-46,3274754
1616;Região Sul;PR;Paraná;CAMPO LARGO;JARDIM SOCIAL;AVENIDA ADEMAR DE BARROS;944;83606000;-25,4443744;-49,5453297
1617;Região Sudeste;ES;Espírito Santo;MARATAIZES;ALVORADA;RODOVIA MARATAIZES SAFRA;SN;29345000;-21,045485;-40,8317367
1618;Região Sudeste;SP;São Paulo;MARILIA;ALTO CAFEZAL;RUA QUINZE DE NOVEMBRO;1471;17504000;-22,2106744;-49,9541224
1619;Região Sudeste;SP;São Paulo;SOROCABA;ALEM LINHA;PRACA EDMUNDO VALLE;27;18060230;-23,5015299;-47,4525603
1620;Região Sudeste;MG;Minas Gerais;TOMBOS;CENTRO;RUA CORONEL EMILIO SOARES;997;36844000;-20,9077325;-42,0272219
1621;Região Sul;PR;Paraná;LARANJEIRAS DO SUL;CENTRO;RUA QUINZE DE NOVEMBRO;1669;85301050;-25,4108024;-52,4190918
1622;Região Sudeste;MG;Minas Gerais;SERRO;CENTRO;RUA BARAO DE DIAMANTINA;307;39150000;-18,6011101;-43,3940798
1623;Região Sudeste;SP;São Paulo;SAO PAULO;VILA PAULICEIA;RUA PROFESSOR BATISTA DE BRITO;204;02301080;-23,488927;-46,6127658
1624;Região Sudeste;SP;São Paulo;SAO PAULO;CENTRO;RUA COMENDADOR ABDO SCHAHIN;162;01023050;-23,5428176;-46,631872
1625;Região Sudeste;SP;São Paulo;CANDIDO MOTA;CENTRO;AVENIDA CORONEL VALENCIO CARNEIRO;57;19880000;-22,7450779;-50,3882762
