sk_ramo_atividade;cd_cnae;de_ramo;de_divisao;cd_atividade;de_atividade
2666;74;Serviços Profissionais e Técnicos;OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS;7420002;ATIVIDADES DE SONORIZACAO E DE ILUMINACAO
2873;95;Serviços Profissionais e Técnicos;REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO E DE OBJETOS PESSOAIS E DOMÉSTICOS;9511800;SUPORTE TECNICO, MANUTENCAO E OUTROS SERVICOS EM TECNOLOGIA DA INFORMACAO
4116;33;Serviços Diversos;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTO;3314712;COMERCIO VAREJISTA DE LUBRIFICANTES
2421;43;Indústria da Construção;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO;4330405;OBRAS DE ALVENARIA
1975;46;Atacado;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4689399;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE PRODUTOS ALIMENTICIOS, BEBIDAS E FUMO
491;47;Varejo;COMÉRCIO VAREJISTA;4721104;COMERCIO VAREJISTA DE LATICINIOS E FRIOS
2920;1;Produtos de Agropecuária;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;0159801;ALBERGUES ASSISTENCIAIS
3796;56;Serviços de Alojamento/Alimentação;ALIMENTAÇÃO;5611201;FABRICACAO DE PRODUTOS PARA INFUSAO CHA, MATE, ETC
3087;1;Produtos de Agropecuária;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;0131800;CULTIVO DE MILHO
668;47;Varejo;COMÉRCIO VAREJISTA;4744099;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO
669;47;Varejo;COMÉRCIO VAREJISTA;4763601;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL
3419;68;Serviços Administrativos;ATIVIDADES IMOBILIÁRIAS;6810202;INCORPORACAO DE EMPREENDIMENTOS IMOBILIARIOS
4406;53;Transporte;CORREIO E OUTRAS ATIVIDADES DE ENTREGA;5320202;SERVICOS DE MALOTE NAO REALIZADOS PELO CORREIO NACIONAL
3843;85;Serviços de Educação;EDUCAÇÃO;8599699;TREINAMENTO EM INFORMATICA
3733;56;Serviços de Alojamento/Alimentação;ALIMENTAÇÃO;5611202;COMERCIO POR ATACADO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES
4245;35;Energia;ELETRICIDADE, GÁS E OUTRAS UTILIDADES;3530100;MANUTENCAO E REPARACAO DE APARELHOS E INSTRUMENTOS DE MEDIDA, TESTE E CONTROLE
3089;1;Produtos de Agropecuária;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;0152103;CRIACAO DE EQUINOS
671;47;Varejo;COMÉRCIO VAREJISTA;4789008;COMERCIO VAREJISTA ESPECIALIZADO DE INSTRUMENTOS MUSICAIS E ACESSORIOS
672;47;Varejo;COMÉRCIO VAREJISTA;4751200;COMERCIO VAREJISTA DE ARTIGOS FOTOGRAFICOS E PARA FILMAGEM
4249;35;Energia;ELETRICIDADE, GÁS E OUTRAS UTILIDADES;3513100;GERACAO DE ENERGIA ELETRICA
2169;14;Bens de Consumo;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS;1412601;COMERCIO VAREJISTA DE ARTIGOS DE JOALHERIA
674;47;Varejo;COMÉRCIO VAREJISTA;4756300;COMERCIO VAREJISTA DE DISCOS, CDS, DVDS E FITAS
675;47;Varejo;COMÉRCIO VAREJISTA;4773300;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA
1760;46;Atacado;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4618401;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE PRODUTOS ALIMENTICIOS, BEBIDAS E FUMO
2258;64;Bens de Capital;ATIVIDADES DE SERVIÇOS FINANCEIROS;6463800;ALUGUEL DE ANDAIMES
2259;94;Serviços Diversos;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;9499500;ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE
2170;14;Bens de Consumo;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS;1411802;CONFECCAO DE ROUPAS INTIMAS
3896;85;Serviços de Educação;EDUCAÇÃO;8599603;TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL
4200;32;Diversos;FABRICAÇÃO DE PRODUTOS DIVERSOS;3230200;FABRICACAO DE ARTEFATOS PARA PESCA E ESPORTE
1444;82;Serviços Administrativos;SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS ÀS EMPRESAS;8291100;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE
4650;38;Serviços de Saneamento Básico;"COLETA, TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS; RECUPERAÇÃO DE MATERIAIS";3839401;ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE
